sl,sw,pl,pw,species,sepal_area,petal_area
5.1,3.5,1.4,0.2,0,17.849999999999998,0.27999999999999997
4.9,3.0,1.4,0.2,0,14.700000000000001,0.27999999999999997
4.7,3.2,1.3,0.2,0,15.040000000000001,0.26
4.6,3.1,1.5,0.2,0,14.26,0.30000000000000004
5.0,3.6,1.4,0.2,0,18.0,0.27999999999999997
5.4,3.9,1.7,0.4,0,21.060000000000002,0.68
4.6,3.4,1.4,0.3,0,15.639999999999999,0.42
5.0,3.4,1.5,0.2,0,17.0,0.30000000000000004
4.4,2.9,1.4,0.2,0,12.76,0.27999999999999997
4.9,3.1,1.5,0.1,0,15.190000000000001,0.15000000000000002
5.4,3.7,1.5,0.2,0,19.980000000000004,0.30000000000000004
4.8,3.4,1.6,0.2,0,16.32,0.32000000000000006
4.8,3.0,1.4,0.1,0,14.399999999999999,0.13999999999999999
4.3,3.0,1.1,0.1,0,12.899999999999999,0.11000000000000001
5.8,4.0,1.2,0.2,0,23.2,0.24
5.7,4.4,1.5,0.4,0,25.080000000000002,0.6000000000000001
5.4,3.9,1.3,0.4,0,21.060000000000002,0.52
5.1,3.5,1.4,0.3,0,17.849999999999998,0.42
5.7,3.8,1.7,0.3,0,21.66,0.51
5.1,3.8,1.5,0.3,0,19.38,0.44999999999999996
5.4,3.4,1.7,0.2,0,18.36,0.34
5.1,3.7,1.5,0.4,0,18.87,0.6000000000000001
4.6,3.6,1.0,0.2,0,16.56,0.2
5.1,3.3,1.7,0.5,0,16.83,0.85
4.8,3.4,1.9,0.2,0,16.32,0.38
5.0,3.0,1.6,0.2,0,15.0,0.32000000000000006
5.0,3.4,1.6,0.4,0,17.0,0.6400000000000001
5.2,3.5,1.5,0.2,0,18.2,0.30000000000000004
5.2,3.4,1.4,0.2,0,17.68,0.27999999999999997
4.7,3.2,1.6,0.2,0,15.040000000000001,0.32000000000000006
4.8,3.1,1.6,0.2,0,14.879999999999999,0.32000000000000006
5.4,3.4,1.5,0.4,0,18.36,0.6000000000000001
5.2,4.1,1.5,0.1,0,21.32,0.15000000000000002
5.5,4.2,1.4,0.2,0,23.1,0.27999999999999997
4.9,3.1,1.5,0.2,0,15.190000000000001,0.30000000000000004
5.0,3.2,1.2,0.2,0,16.0,0.24
5.5,3.5,1.3,0.2,0,19.25,0.26
4.9,3.6,1.4,0.1,0,17.64,0.13999999999999999
4.4,3.0,1.3,0.2,0,13.200000000000001,0.26
5.1,3.4,1.5,0.2,0,17.34,0.30000000000000004
5.0,3.5,1.3,0.3,0,17.5,0.39
4.5,2.3,1.3,0.3,0,10.35,0.39
4.4,3.2,1.3,0.2,0,14.080000000000002,0.26
5.0,3.5,1.6,0.6,0,17.5,0.96
5.1,3.8,1.9,0.4,0,19.38,0.76
4.8,3.0,1.4,0.3,0,14.399999999999999,0.42
5.1,3.8,1.6,0.2,0,19.38,0.32000000000000006
4.6,3.2,1.4,0.2,0,14.719999999999999,0.27999999999999997
5.3,3.7,1.5,0.2,0,19.61,0.30000000000000004
5.0,3.3,1.4,0.2,0,16.5,0.27999999999999997
7.0,3.2,4.7,1.4,1,22.400000000000002,6.58
6.4,3.2,4.5,1.5,1,20.480000000000004,6.75
6.9,3.1,4.9,1.5,1,21.39,7.3500000000000005
5.5,2.3,4.0,1.3,1,12.649999999999999,5.2
6.5,2.8,4.6,1.5,1,18.2,6.8999999999999995
5.7,2.8,4.5,1.3,1,15.959999999999999,5.8500000000000005
6.3,3.3,4.7,1.6,1,20.79,7.5200000000000005
4.9,2.4,3.3,1.0,1,11.76,3.3
6.6,2.9,4.6,1.3,1,19.139999999999997,5.9799999999999995
5.2,2.7,3.9,1.4,1,14.040000000000001,5.46
5.0,2.0,3.5,1.0,1,10.0,3.5
5.9,3.0,4.2,1.5,1,17.700000000000003,6.300000000000001
6.0,2.2,4.0,1.0,1,13.200000000000001,4.0
6.1,2.9,4.7,1.4,1,17.689999999999998,6.58
5.6,2.9,3.6,1.3,1,16.24,4.680000000000001
6.7,3.1,4.4,1.4,1,20.77,6.16
5.6,3.0,4.5,1.5,1,16.799999999999997,6.75
5.8,2.7,4.1,1.0,1,15.66,4.1
6.2,2.2,4.5,1.5,1,13.640000000000002,6.75
5.6,2.5,3.9,1.1,1,14.0,4.29
5.9,3.2,4.8,1.8,1,18.880000000000003,8.64
6.1,2.8,4.0,1.3,1,17.08,5.2
6.3,2.5,4.9,1.5,1,15.75,7.3500000000000005
6.1,2.8,4.7,1.2,1,17.08,5.64
6.4,2.9,4.3,1.3,1,18.56,5.59
6.6,3.0,4.4,1.4,1,19.799999999999997,6.16
6.8,2.8,4.8,1.4,1,19.04,6.72
6.7,3.0,5.0,1.7,1,20.1,8.5
6.0,2.9,4.5,1.5,1,17.4,6.75
5.7,2.6,3.5,1.0,1,14.82,3.5
5.5,2.4,3.8,1.1,1,13.2,4.18
5.5,2.4,3.7,1.0,1,13.2,3.7
5.8,2.7,3.9,1.2,1,15.66,4.68
6.0,2.7,5.1,1.6,1,16.200000000000003,8.16
5.4,3.0,4.5,1.5,1,16.200000000000003,6.75
6.0,3.4,4.5,1.6,1,20.4,7.2
6.7,3.1,4.7,1.5,1,20.77,7.050000000000001
6.3,2.3,4.4,1.3,1,14.489999999999998,5.720000000000001
5.6,3.0,4.1,1.3,1,16.799999999999997,5.33
5.5,2.5,4.0,1.3,1,13.75,5.2
5.5,2.6,4.4,1.2,1,14.3,5.28
6.1,3.0,4.6,1.4,1,18.299999999999997,6.4399999999999995
5.8,2.6,4.0,1.2,1,15.08,4.8
5.0,2.3,3.3,1.0,1,11.5,3.3
5.6,2.7,4.2,1.3,1,15.12,5.460000000000001
5.7,3.0,4.2,1.2,1,17.1,5.04
5.7,2.9,4.2,1.3,1,16.53,5.460000000000001
6.2,2.9,4.3,1.3,1,17.98,5.59
5.1,2.5,3.0,1.1,1,12.75,3.3000000000000003
5.7,2.8,4.1,1.3,1,15.959999999999999,5.33
6.3,3.3,6.0,2.5,2,20.79,15.0
5.8,2.7,5.1,1.9,2,15.66,9.69
7.1,3.0,5.9,2.1,2,21.299999999999997,12.39
6.3,2.9,5.6,1.8,2,18.27,10.08
6.5,3.0,5.8,2.2,2,19.5,12.76
7.6,3.0,6.6,2.1,2,22.799999999999997,13.86
4.9,2.5,4.5,1.7,2,12.25,7.6499999999999995
7.3,2.9,6.3,1.8,2,21.169999999999998,11.34
6.7,2.5,5.8,1.8,2,16.75,10.44
7.2,3.6,6.1,2.5,2,25.92,15.25
6.5,3.2,5.1,2.0,2,20.8,10.2
6.4,2.7,5.3,1.9,2,17.28,10.069999999999999
6.8,3.0,5.5,2.1,2,20.4,11.55
5.7,2.5,5.0,2.0,2,14.25,10.0
5.8,2.8,5.1,2.4,2,16.24,12.239999999999998
6.4,3.2,5.3,2.3,2,20.480000000000004,12.19
6.5,3.0,5.5,1.8,2,19.5,9.9
7.7,3.8,6.7,2.2,2,29.259999999999998,14.740000000000002
7.7,2.6,6.9,2.3,2,20.02,15.87
6.0,2.2,5.0,1.5,2,13.200000000000001,7.5
6.9,3.2,5.7,2.3,2,22.080000000000002,13.11
5.6,2.8,4.9,2.0,2,15.679999999999998,9.8
7.7,2.8,6.7,2.0,2,21.56,13.4
6.3,2.7,4.9,1.8,2,17.01,8.82
6.7,3.3,5.7,2.1,2,22.11,11.97
7.2,3.2,6.0,1.8,2,23.040000000000003,10.8
6.2,2.8,4.8,1.8,2,17.36,8.64
6.1,3.0,4.9,1.8,2,18.299999999999997,8.82
6.4,2.8,5.6,2.1,2,17.919999999999998,11.76
7.2,3.0,5.8,1.6,2,21.6,9.28
7.4,2.8,6.1,1.9,2,20.72,11.589999999999998
7.9,3.8,6.4,2.0,2,30.02,12.8
6.4,2.8,5.6,2.2,2,17.919999999999998,12.32
6.3,2.8,5.1,1.5,2,17.639999999999997,7.6499999999999995
6.1,2.6,5.6,1.4,2,15.86,7.839999999999999
7.7,3.0,6.1,2.3,2,23.1,14.029999999999998
6.3,3.4,5.6,2.4,2,21.419999999999998,13.44
6.4,3.1,5.5,1.8,2,19.840000000000003,9.9
6.0,3.0,4.8,1.8,2,18.0,8.64
6.9,3.1,5.4,2.1,2,21.39,11.340000000000002
6.7,3.1,5.6,2.4,2,20.77,13.44
6.9,3.1,5.1,2.3,2,21.39,11.729999999999999
5.8,2.7,5.1,1.9,2,15.66,9.69
6.8,3.2,5.9,2.3,2,21.76,13.57
6.7,3.3,5.7,2.5,2,22.11,14.25
6.7,3.0,5.2,2.3,2,20.1,11.959999999999999
6.3,2.5,5.0,1.9,2,15.75,9.5
6.5,3.0,5.2,2.0,2,19.5,10.4
6.2,3.4,5.4,2.3,2,21.08,12.42
5.9,3.0,5.1,1.8,2,17.700000000000003,9.18
